category_name,context,instruction,language,is_chat,top_p,temperature,model_name,elo_score
biographies_of_figures,False,False,it,True,0.9,0.5,LLAMA3_8B_CHAT,146.0
biographies_of_figures,False,False,it,True,0.8,0.5,LLAMA3_70B_CHAT,144.0
biographies_of_figures,False,False,zh,True,0.5,0.75,GPT4_CHAT,131.0
biographies_of_figures,False,False,it,True,0.25,0.5,LLAMA2_13B_CHAT,131.0
biographies_of_figures,False,False,it,True,0.8,0.9,LLAMA3_70B_CHAT,131.0
biographies_of_figures,False,False,it,True,0.8,0.9,LLAMA2_13B_CHAT,117.0
biographies_of_figures,False,False,zh,True,0.5,0.5,GPT4_CHAT,116.0
biographies_of_figures,False,False,zh,True,0.25,0.5,GPT4_CHAT,116.0
biographies_of_figures,False,False,zh,True,0.9,0.9,GPT4_CHAT,116.0
biographies_of_figures,False,False,it,True,0.25,0.9,LLAMA3_70B_CHAT,116.0
biographies_of_figures,False,False,it,True,0.25,0.75,COHERE_COMMAND_R_PLUS_CHAT,116.0
biographies_of_figures,False,False,it,True,0.9,0.75,COHERE_COMMAND_R_PLUS_CHAT,116.0
biographies_of_figures,False,False,it,True,0.9,0.75,LLAMA2_70B_CHAT,116.0
biographies_of_figures,False,False,it,True,0.25,0.5,LLAMA3_8B_CHAT,116.0
biographies_of_figures,False,False,it,True,0.8,0.9,LLAMA3_8B_CHAT,116.0
biographies_of_figures,False,False,it,True,0.5,0.75,LLAMA2_13B_CHAT,116.0
biographies_of_figures,False,False,it,True,0.9,0.75,LLAMA3_70B_CHAT,114.0
biographies_of_figures,False,False,it,True,0.25,0.5,LLAMA3_70B_CHAT,112.0
biographies_of_figures,False,False,it,True,0.25,0.75,LLAMA3_8B_CHAT,101.0
biographies_of_figures,False,False,it,True,0.8,0.5,LLAMA2_70B_CHAT,100.0
biographies_of_figures,False,False,it,True,0.8,0.9,LLAMA2_70B_CHAT,100.0
biographies_of_figures,False,False,it,True,0.8,0.75,LLAMA2_70B_CHAT,99.0
biographies_of_figures,False,False,it,True,0.9,0.9,LLAMA3_8B_CHAT,99.0
biographies_of_figures,False,False,it,True,0.25,0.9,LLAMA2_70B_CHAT,98.0
biographies_of_figures,False,False,it,True,0.5,0.5,LLAMA3_70B_CHAT,98.0
biographies_of_figures,False,False,it,True,0.9,0.9,LLAMA3_70B_CHAT,90.0
biographies_of_figures,False,False,it,True,0.8,0.75,LLAMA2_13B_CHAT,86.0
biographies_of_figures,False,False,it,True,0.5,0.5,COHERE_COMMAND_R_PLUS_CHAT,85.0
biographies_of_figures,False,False,zh,True,0.5,0.9,LLAMA2_70B_CHAT,84.0
biographies_of_figures,False,False,zh,True,0.5,0.75,LLAMA2_70B_CHAT,84.0
biographies_of_figures,False,False,zh,True,0.25,0.5,LLAMA2_70B_CHAT,84.0
biographies_of_figures,False,False,zh,True,0.9,0.75,LLAMA2_70B_CHAT,84.0
biographies_of_figures,False,False,zh,True,0.9,0.9,LLAMA2_70B_CHAT,84.0
biographies_of_figures,False,False,it,True,0.5,0.9,LLAMA3_70B_CHAT,84.0
biographies_of_figures,False,False,it,True,0.5,0.5,LLAMA2_70B_CHAT,84.0
biographies_of_figures,False,False,it,True,0.9,0.5,LLAMA2_13B_CHAT,84.0
biographies_of_figures,False,False,it,True,0.8,0.5,LLAMA2_13B_CHAT,84.0
biographies_of_figures,False,False,it,True,0.8,0.75,LLAMA3_70B_CHAT,84.0
biographies_of_figures,False,False,it,True,0.5,0.5,LLAMA3_8B_CHAT,83.0
biographies_of_figures,False,False,it,True,0.9,0.9,LLAMA2_70B_CHAT,83.0
biographies_of_figures,False,False,it,True,0.5,0.75,LLAMA2_70B_CHAT,82.0
biographies_of_figures,False,False,it,True,0.8,0.5,LLAMA3_8B_CHAT,67.0
biographies_of_figures,False,False,it,True,0.9,0.9,LLAMA2_13B_CHAT,66.0
biographies_of_figures,False,False,it,True,0.9,0.75,LLAMA2_13B_CHAT,55.0
biographies_of_figures,False,False,it,True,0.5,0.9,COHERE_COMMAND_R_PLUS_CHAT,54.0
business_analysis,False,False,en,True,0.9,0.5,LLAMA3_70B_CHAT,143.0
business_analysis,False,False,en,True,0.5,0.75,COHERE_COMMAND_R_CHAT,132.0
business_analysis,False,False,es,True,0.25,0.9,LLAMA2_7B_CHAT,132.0
business_analysis,False,False,ko,True,0.9,0.9,LLAMA2_70B_CHAT,131.0
business_analysis,False,False,es,True,0.9,0.5,LLAMA2_13B_CHAT,131.0
business_analysis,False,False,es,True,0.5,0.9,LLAMA2_13B_CHAT,131.0
business_analysis,True,False,de,True,0.5,0.75,GPT4_CHAT,131.0
business_analysis,False,False,en,True,0.25,0.5,LLAMA2_7B_CHAT,131.0
business_analysis,False,False,en,True,0.8,0.9,COHERE_COMMAND_R_CHAT,131.0
business_analysis,False,False,es,True,0.8,0.75,GPT3.5_CHAT_TURBO,131.0
business_analysis,False,False,pt,True,0.9,0.5,LLAMA2_7B_CHAT,131.0
business_analysis,True,False,en,True,0.8,0.5,LLAMA2_7B_CHAT,130.0
business_analysis,False,False,it,True,0.25,0.9,COHERE_COMMAND_R_CHAT,130.0
business_analysis,False,False,en,True,0.8,0.5,LLAMA2_7B_CHAT,128.0
business_analysis,False,False,ko,True,0.8,0.75,LLAMA2_70B_CHAT,116.0
business_analysis,False,False,ko,True,0.5,0.5,GPT4_CHAT,116.0
business_analysis,False,False,zh,True,0.25,0.75,COHERE_COMMAND_R_CHAT,116.0
business_analysis,False,False,zh,True,0.5,0.5,LLAMA3_8B_CHAT,116.0
business_analysis,False,False,en,True,0.8,0.75,LLAMA3_70B_CHAT,116.0
business_analysis,False,False,en,True,0.5,0.75,LLAMA3_70B_CHAT,116.0
business_analysis,False,False,en,True,0.25,0.9,LLAMA3_70B_CHAT,116.0
business_analysis,False,False,en,True,0.8,0.5,LLAMA3_70B_CHAT,116.0
business_analysis,False,False,en,True,0.5,0.5,LLAMA3_70B_CHAT,116.0
business_analysis,False,False,es,True,0.8,0.75,GPT4_CHAT,116.0
business_analysis,False,False,es,True,0.25,0.5,GPT4_CHAT,116.0
business_analysis,False,False,es,True,0.8,0.5,LLAMA2_13B_CHAT,116.0
business_analysis,True,False,de,True,0.5,0.5,GPT4_CHAT,116.0
business_analysis,True,False,de,True,0.25,0.5,GPT4_CHAT,116.0
business_analysis,False,False,en,True,0.5,0.5,COHERE_COMMAND_R_CHAT,116.0
business_analysis,True,False,en,True,0.25,0.5,LLAMA2_7B_CHAT,116.0
business_analysis,True,False,en,True,0.9,0.75,LLAMA2_7B_CHAT,116.0
business_analysis,False,False,it,True,0.5,0.9,COHERE_COMMAND_R_CHAT,116.0
business_analysis,False,False,it,True,0.8,0.9,COHERE_COMMAND_R_CHAT,116.0
business_analysis,False,False,it,True,0.5,0.5,COHERE_COMMAND_R_CHAT,116.0
business_analysis,False,False,it,True,0.8,0.75,COHERE_COMMAND_R_CHAT,116.0
business_analysis,False,False,it,True,0.9,0.5,COHERE_COMMAND_R_CHAT,116.0
business_analysis,False,False,it,True,0.9,0.75,COHERE_COMMAND_R_CHAT,116.0
business_analysis,False,False,pt,True,0.25,0.9,GPT4_CHAT,116.0
business_analysis,False,False,en,True,0.25,0.9,COHERE_COMMAND_R_CHAT,116.0
business_analysis,False,False,es,True,0.25,0.75,LLAMA2_7B_CHAT,116.0
business_analysis,False,False,es,True,0.8,0.9,GPT3.5_CHAT_TURBO,116.0
business_analysis,False,False,es,True,0.25,0.5,LLAMA2_7B_CHAT,116.0
business_analysis,False,False,es,True,0.5,0.5,LLAMA2_7B_CHAT,116.0
